id,pattern_name,short_name,type,wave_structure,direction,wave_point_labels,start,pt1,pt2,pt3,pt4,pt5,net_move,fibonacci_relationships
1,Classic Impulse,IMP,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,200.0,261.8,+161.8,W3=161.8% of W1; W4 retraces 38.2% of W3; W5?W1; W4 cannot overlap W1
2,Extended Wave 1 Impulse,IMP-EXT1,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,200.0,150.0,211.8,188.2,226.4,+126.4,W1 longest wave; W3=61.8% W1; W5=38.2% W1; W2 retraces 50% of W1
3,Extended Wave 3 Impulse,IMP-EXT3,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,300.0,261.8,323.6,+223.6,W3=261.8% of W1 (most common); W4 stays above W1 top (161.8); W5=W1
4,Extended Wave 5 Impulse,IMP-EXT5,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,200.0,361.8,+261.8,W5=261.8% of W1; parabolic exhaustion move; W5 longest; rare
5,Leading Diagonal (Contracting),LD-CON,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,175.0,130.0,200.0,155.0,215.0,+115.0,Wave 1 or A position only; W4 overlaps W1 territory (below 175); converging wedge
6,Ending Diagonal (Contracting),ED-CON,Motive,3-3-3-3-3,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,172.0,128.0,195.0,150.0,210.0,+110.0,Wave 5 or C position; all subwaves are zigzags; converging wedge; thrust follows
7,Ending Diagonal (Expanding),ED-EXP,Motive,3-3-3-3-3,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,150.0,118.0,170.0,130.0,190.0,+90.0,Rare; each wave longer than prior; expanding wedge; wave 5 or C position
8,Zigzag,ZZ,Corrective,5-3-5,Bearish,Start / A / B / C,100.0,61.8,85.4,47.2,—,—,-52.8,Sharp correction; A=5 waves down; B retraces ?61.8% of A; C?A; C=A or 161.8%×A
9,Double Zigzag,DZZ,Corrective,ZZ-X-ZZ,Bearish,Start / W / X / Y,100.0,67.0,83.5,50.5,—,—,-49.5,W and Y are zigzags; X retraces 38.2-61.8% of W; deeper than single zigzag
10,Triple Zigzag,TZZ,Corrective,ZZ-X-ZZ-X-ZZ,Bearish,Start / W / X1 / Y / X2 / Z,100.0,72.0,88.8,60.8,74.8,46.8,-53.2,Three zigzags linked by two X waves; extremely rare; very deep decline
11,Regular Flat,R-FLAT,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,82.0,99.0,74.1,—,—,-25.9,B retraces 90-100% of A (near start); C = 100-138.2% of A; sideways-down
12,Expanded Flat,EXP-FLAT,Corrective,3-3-5,Bearish,Start / A / B / C,100.0,80.0,120.0,61.8,—,—,-38.2,B exceeds A start (>100%); C extends beyond A end; most common flat variant
13,Running Flat,RUN-FLAT,Corrective,3-3-5,Bullish,Start / A / B / C,100.0,85.0,130.0,99.0,—,—,-1.0,B extremely strong (>200% of A); C fails to reach A low; rare; bullish signal
14,Contracting Triangle,CT,Corrective,3-3-3-3-3,Neutral,Start / A / B / C / D / E,100.0,76.4,91.0,82.0,87.6,84.1,-15.9,Each wave ?61.8% of prior; converging trendlines; thrust = widest point of triangle
15,Expanding Triangle,ET,Corrective,3-3-3-3-3,Neutral,Start / A / B / C / D / E,100.0,80.0,108.0,76.0,112.0,72.0,-28.0,Each wave larger than prior; expanding channel; rare; typically wave B of flat
16,Running Triangle,RT,Corrective,3-3-3-3-3,Bullish,Start / A / B / C / D / E,100.0,80.0,112.0,92.0,108.0,95.0,-5.0,B exceeds starting level (>100); bullish bias; triangle converges above origin
17,Double Three (Combination),D3,Corrective,3-3-3,Bearish,Start / W / X / Y,100.0,80.0,94.0,68.0,—,—,-32.0,W and Y are any two simple corrections; X links them; complex sideways move
18,Triple Three (Combination),T3,Corrective,3-3-3-3-3,Bearish,Start / W / X1 / Y / X2 / Z,100.0,82.0,93.0,76.0,85.0,67.0,-33.0,Three corrections linked by two X waves; very rare; prolonged sideways decline
19,Impulse – Shallow Wave 4 (23.6%),IMP-W4-236,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,214.6,276.4,+176.4,W4 retraces 23.6% of W3 (shallow); typical alongside strong W3; W2=38.2%; W3=161.8% of W1; W5=W1 [Retracement 23.6%]
20,Impulse – Standard 38.2% Retraces,IMP-382,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,138.2,238.2,200.0,261.8,+161.8,W2=38.2% of W1 and W4=38.2% of W3; most common W4 retrace; canonical form of Classic Impulse (#1) [Retracement 38.2%]
21,Impulse – 50% Wave 2 Retrace,IMP-W2-50,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,130.9,230.9,192.7,254.5,+154.5,"W2 retraces 50% of W1 (widely watched, not strict Fibonacci); W3=161.8% of W1; W4=38.2% of W3; W5=W1 [Retracement 50.0%]"
22,Impulse – Golden 61.8% Wave 2,IMP-W2-618,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,123.6,223.6,185.4,247.2,+147.2,W2 retraces 61.8% of W1 (golden ratio; most common W2); also B-wave ceiling in zigzag; W3=161.8% of W1; W5=W1 [Retracement 61.8%]
23,Impulse – Deep 78.6% Wave 2,IMP-W2-786,Motive,5-3-5-3-5,Bullish,0 / 1 / 2 / 3 / 4 / 5,100.0,161.8,113.2,213.2,175.0,236.8,+136.8,W2 retraces 78.6% of W1 (=sqrt(0.618)); deep retrace common in diagonal-prone markets; W3=161.8% of W1; W5=W1 [Retracement 78.6%]
