Date,Symbol,Open,High,Low,Close,Volume
2023-01-03,BMO,90.75,91.53,90.46,91.04,572800
2023-01-04,BMO,92.31,94.27,92.13,93.63,610200
2023-01-05,BMO,93.0,93.0,91.91,92.79,411200
2023-01-06,BMO,93.5,95.29,92.91,95.13,507200
2023-01-09,BMO,95.51,96.28,95.19,95.4,467600
2023-01-10,BMO,95.42,95.65,94.75,95.09,350000
2023-01-11,BMO,95.51,96.3,95.51,96.03,723400
2023-01-12,BMO,96.92,97.57,95.89,97.26,708700
2023-01-13,BMO,96.31,98.07,96.08,97.95,526400
2023-01-17,BMO,98.36,98.72,97.87,98.59,555200
2023-01-18,BMO,98.6,99.49,97.27,97.27,563100
2023-01-19,BMO,96.89,97.66,96.19,97.56,473600
2023-01-20,BMO,97.57,98.95,96.83,98.85,325600
2023-01-23,BMO,98.88,99.94,98.47,99.61,436700
2023-01-24,BMO,99.44,100.04,99.0,99.62,331500
2023-01-25,BMO,99.26,99.89,98.8,99.69,485100
2023-01-26,BMO,100.2,101.53,99.84,101.49,2150200
2023-01-27,BMO,100.43,100.52,99.77,100.25,1734400
2023-01-30,BMO,99.74,99.99,98.94,99.01,355300
2023-01-31,BMO,99.33,100.72,98.04,100.64,612900
2023-02-01,BMO,100.8,101.09,99.27,100.68,577900
2023-02-02,BMO,101.03,101.27,100.27,100.32,474400
2023-02-03,BMO,99.53,101.15,99.46,100.64,384300
2023-02-06,BMO,99.84,100.77,99.35,100.74,275900
2023-02-07,BMO,100.52,102.48,100.25,101.98,491300
2023-02-08,BMO,101.6,102.4,101.33,101.59,353100
2023-02-09,BMO,102.64,102.79,100.69,100.91,327300
2023-02-10,BMO,101.13,101.57,100.8,101.43,264700
2023-02-13,BMO,101.4,102.0,101.06,101.51,250000
2023-02-14,BMO,101.44,101.92,100.39,101.37,293600
2023-02-15,BMO,100.1,100.87,100.1,100.82,236100
2023-02-16,BMO,100.04,101.09,99.92,100.39,261800
2023-02-17,BMO,100.0,100.54,99.66,100.31,354800
2023-02-21,BMO,99.67,99.72,97.55,97.75,481600
2023-02-22,BMO,97.5,97.8,96.29,96.84,434200
2023-02-23,BMO,97.53,97.68,95.88,96.28,489000
2023-02-24,BMO,95.0,96.29,94.58,96.28,443300
2023-02-27,BMO,96.96,97.45,96.27,96.39,352700
2023-02-28,BMO,95.86,95.96,94.15,94.76,689200
2023-03-01,BMO,94.59,96.04,94.51,95.95,543100
2023-03-02,BMO,95.23,95.3,93.6,94.67,434400
2023-03-03,BMO,94.92,96.45,94.78,96.13,468700
2023-03-06,BMO,96.32,96.79,95.66,95.94,343600
2023-03-07,BMO,95.56,95.56,92.62,93.03,520500
2023-03-08,BMO,92.88,93.5,92.23,92.25,370500
2023-03-09,BMO,92.14,92.4,90.28,90.65,645500
2023-03-10,BMO,90.1,90.28,87.96,88.26,1307800
2023-03-13,BMO,86.73,87.75,83.77,87.14,1672000
2023-03-14,BMO,89.19,89.53,87.65,88.11,1264000
2023-03-15,BMO,85.43,86.1,84.57,85.94,1201500
2023-03-16,BMO,85.33,88.0,84.59,87.08,746700
2023-03-17,BMO,86.35,86.35,84.88,85.25,664800
2023-03-20,BMO,85.98,86.8,85.25,85.8,634500
2023-03-21,BMO,87.14,87.65,86.39,86.66,773000
